epoch,train_loss,train_wer,dev_loss,dev_wer,lr
1,5.866644361877442,0.9580673425960696,4.632260564804077,0.8652763295099062,0.0003
2,4.088464498710632,0.8367547043851963,3.3588166542053224,0.7910323253388947,0.0003
3,2.9374597148895263,0.7271039345767096,2.5500242528915407,0.6892596454640251,0.0003
4,2.1827478010177614,0.6098593899945759,2.0445543270111086,0.602502606882169,0.0003
5,1.6796464502334594,0.505257228689448,1.7150660147666932,0.5147028154327424,0.0003
6,1.3276464983463288,0.41588434096883214,1.470239203453064,0.4508863399374348,0.0003
7,1.0737729661464692,0.34501606375432886,1.3335295898914337,0.397288842544317,0.0003
8,0.8775781156301499,0.2883339591938916,1.2053008224964141,0.359541188738269,0.0003
9,0.738316080737114,0.24654733592022365,1.141005719423294,0.332429614181439,0.0003
10,0.6315089878678322,0.2126674176993366,1.0806633996963502,0.3197080291970803,0.0003
11,0.5382308710277081,0.18527558726582385,1.0631699662208558,0.2994786235662148,0.0003
12,0.46916063277721404,0.16399632828472482,1.0107237492799759,0.29030239833159543,0.0003
13,0.41450755589604377,0.14661826678349396,1.0306898159980773,0.2809176225234619,0.0003
14,0.36936574421525004,0.13203571577585846,1.0028481489419938,0.2721584984358707,0.0003
15,0.33088369616270064,0.11905954020110986,0.9724740813970566,0.26152241918665275,0.0003
16,0.2988252762913704,0.1080652563942087,0.8995989249944687,0.23753910323253388,0.0003
17,0.26947106157839296,0.10030458547169024,0.9603620901107788,0.24233576642335766,0.0003
18,0.24705254553854467,0.09312805107022155,0.9342371704578399,0.2383733055265902,0.0003
19,0.23377371907532216,0.08655651520841157,0.9247990992367268,0.2264859228362878,0.0003
20,0.21420104834884404,0.08129928651896358,0.8748882936835289,0.21334723670490094,0.0003
21,0.19540742168575526,0.07374723578253432,0.9798328851461411,0.2227320125130344,0.0003
22,0.1919270893856883,0.07257896274043477,0.9949386290311814,0.22961418143899895,0.0003
23,0.17662216493338345,0.06565277256227313,0.97379203748703,0.2229405630865485,0.0003
24,0.16416576109007,0.06398381107355948,0.9420721486210824,0.21939520333680917,0.00015
25,0.11109486329928041,0.04353903283681729,0.8578203790038824,0.19958289885297184,0.00015
26,0.08575667253881693,0.03312888555096591,0.8251230027079582,0.18394160583941604,0.00015
27,0.08195664219334721,0.031856302415821755,0.9572487080097198,0.2100104275286757,0.00015
28,0.07736323311217129,0.030083030834063502,0.8841234269142151,0.1881126173096976,0.00015
29,0.07237785924077034,0.029165102015270998,0.8574105075001717,0.18748696558915537,0.00015
30,0.06823176663294435,0.025994075186715065,0.8562281532883644,0.18415015641293014,7.5e-05
31,0.052694636058062315,0.019902365752910253,0.8673570423126221,0.18769551616266944,7.5e-05
32,0.04426358548775315,0.016251512496349145,0.8520845124721527,0.18018769551616268,7.5e-05
33,0.04106936691664159,0.015813410105561813,0.8668168189823627,0.18018769551616268,7.5e-05
34,0.03815882747098803,0.014165310635457087,0.8422896805107594,0.17664233576642335,7.5e-05
35,0.03695475843735039,0.013080485667793216,0.8958071000874043,0.1826903023983316,7.5e-05
36,0.036420812752097846,0.0132682438352735,0.862113049864769,0.1778936392075078,7.5e-05
37,0.03591965985586867,0.013456002002753787,0.8761538121104241,0.17831074035453598,7.5e-05
38,0.03407825746834278,0.012976175574748613,0.8983830912411213,0.18310740354535976,3.75e-05
39,0.028719976692087947,0.010431009304460299,0.8738276162445545,0.17393117831074034,3.75e-05
40,0.025512523617967964,0.008720323778528811,0.8832860562503337,0.17601668404588114,3.75e-05
41,0.02453928226456046,0.00836566946217716,0.8986511524915696,0.1781021897810219,3.75e-05
42,0.02334179726149887,0.007718946885300622,0.8835645646452904,0.17309697601668406,3.75e-05
43,0.022442747431993485,0.007781532941127383,0.8846098862290382,0.17497393117831073,3.75e-05
44,0.021522709471732376,0.006863604122334877,0.8706906895637512,0.17059436913451512,3.75e-05
45,0.021342653651256115,0.007197396420077606,0.8904913055896759,0.17330552659019813,3.75e-05
46,0.02062183078052476,0.006696707973463513,0.8917800232470036,0.1753910323253389,3.75e-05
47,0.020516064434777947,0.007113948345641924,0.8897785822153091,0.17059436913451512,3.75e-05
48,0.01915429557710886,0.005486710894146118,0.8993392459154129,0.17476538060479666,1.875e-05
49,0.018010693192388863,0.0055701589685818,0.9016577608287334,0.17518248175182483,1.875e-05
50,0.017542036798316986,0.0053198147452747525,0.895223039522767,0.17288842544316996,1.875e-05
51,0.016780815264955163,0.005486710894146118,0.9032903165221214,0.17038581856100105,1.875e-05
52,0.016326074317470192,0.005361538782492594,0.9042602246403694,0.1735140771637122,1.875e-05
53,0.015724038923950866,0.004944298410314182,0.9052067531496286,0.1716371220020855,1.875e-05
54,0.01631380437379703,0.005069470521967706,0.9045903875529766,0.17122002085505736,1.875e-05
55,0.015524070536438376,0.004798264280051738,0.8922755064964294,0.16996871741397288,1.875e-05
56,0.01559067200962454,0.005048608503358785,0.8866819219887256,0.16830031282586028,1.875e-05
57,0.015041199755948037,0.004297575833437643,0.9026134141087532,0.1708029197080292,1.875e-05
58,0.01395820844611153,0.0040263695915216755,0.8994114122390747,0.16871741397288842,1.875e-05
59,0.014909517354890704,0.004589644093962532,0.8899633330404758,0.17059436913451512,1.875e-05
60,0.013814555264357478,0.0040263695915216755,0.905413260936737,0.1716371220020855,9.375e-06
