epoch,train_loss,train_wer,isharah_dev_wer,it_val_ctc_accuracy,it_val_classification_accuracy,karsl_val_ctc_accuracy,karsl_val_classification_accuracy,karsl_val_macro_f1,synthetic_dev_wer,selection_score,encoder_lr,head_lr
1,0.8017607296474488,0.0675170634990262,0.17935349322210636,0.5194805194805194,0.26406926406926406,0.2322139303482587,0.36218905472636814,0.31208941704359144,0.5242718446601942,0.3808283156005638,6e-05,0.0002
2,0.5814990130233662,0.0644554594670604,0.17872784150156412,0.5194805194805194,0.45021645021645024,0.6029850746268657,0.6208955223880597,0.5953116420698976,0.4996265870052278,0.32634095302848487,6e-05,0.0002
3,0.464049311717892,0.06288139159711019,0.17768508863399374,0.4935064935064935,0.5021645021645021,0.7393034825870647,0.7455223880597015,0.7287719938583945,0.5115758028379388,0.30863476918052746,6e-05,0.0002
4,0.3961398330554916,0.059920481334224694,0.18123044838373306,0.5021645021645021,0.5064935064935064,0.8053482587064676,0.8083333333333333,0.7973892204700526,0.5250186706497386,0.2968477766298615,6e-05,0.0002
5,0.34856996910937527,0.058147099678230445,0.17643378519290928,0.4805194805194805,0.5238095238095238,0.8299751243781095,0.8529850746268657,0.8461607499030617,0.5108289768483943,0.2897512159664053,6e-05,0.0002
6,0.32319746618955264,0.05846456002525164,0.17935349322210636,0.5281385281385281,0.5324675324675324,0.8638059701492538,0.8771144278606965,0.8715583790624445,0.4921583271097834,0.27246738705415485,6e-05,0.0002
7,0.3103522816397992,0.057207714506933204,0.16830031282586028,0.5238095238095238,0.5627705627705628,0.881094527363184,0.9008706467661691,0.8993279826537008,0.49141150112023896,0.26374978057804627,6e-05,0.0002
8,0.30080167299450394,0.05696914317846349,0.17038581856100105,0.5151515151515151,0.5497835497835498,0.8906716417910447,0.9162935323383085,0.9138259026118127,0.5011202389843167,0.2647390569953416,6e-05,0.0002
9,0.28957551672280313,0.05396043956043956,0.17413972888425444,0.49783549783549785,0.5367965367965368,0.916542288557214,0.9342039800995025,0.9331405329312025,0.5033607169529499,0.2673992792144345,6e-05,0.0002
10,0.2761718788474047,0.05330685273388755,0.17476538060479666,0.5194805194805194,0.5541125541125541,0.913681592039801,0.9366915422885572,0.9356257189196835,0.5048543689320388,0.26192141983752104,6e-05,0.0002
11,0.2799271854983246,0.055298001615565626,0.17330552659019813,0.49783549783549785,0.5541125541125541,0.9274875621890547,0.9453980099502488,0.9438620319922937,0.508588498879761,0.26530786040464105,6e-05,0.0002
12,0.2681306407513122,0.052266460598184024,0.17413972888425444,0.48917748917748916,0.5541125541125541,0.9323383084577115,0.9482587064676616,0.9468768071754061,0.508588498879761,0.26727561429798596,6e-05,0.0002
13,0.266416067901316,0.053023386473769224,0.18039624608967675,0.5064935064935064,0.5627705627705628,0.9355721393034826,0.9553482587064677,0.9542229180530624,0.5063480209111277,0.2641200844667972,6e-05,0.0002
14,0.25661642086745995,0.050315460185234,0.17476538060479666,0.5324675324675324,0.5411255411255411,0.9376865671641791,0.9532338308457712,0.9514408700666901,0.48842419716206126,0.2537231917023273,6e-05,0.0002
15,0.25740101356357153,0.05144694533762058,0.17559958289885297,0.5151515151515151,0.5627705627705628,0.945771144278607,0.9603233830845771,0.9596518006058898,0.48842419716206126,0.2570096766158958,6e-05,0.0002
16,0.254077927437399,0.05072425506450534,0.1680917622523462,0.5238095238095238,0.5281385281385281,0.9470149253731344,0.9610696517412936,0.9607994662388067,0.4996265870052278,0.2524376404134389,6e-05,0.0002
17,0.24857200008357655,0.048741531224769194,0.17664233576642335,0.5324675324675324,0.5584415584415584,0.9502487562189055,0.963681592039801,0.9633329749070275,0.49663928304705,0.2532997778747522,6e-05,0.0002
18,0.2431272779686461,0.04885118043844856,0.1708029197080292,0.5064935064935064,0.5454545454545454,0.9589552238805971,0.9695273631840796,0.9690216664876039,0.49141150112023896,0.2554736147204445,6e-05,0.0002
19,0.24463113228507513,0.0490273465593152,0.17226277372262774,0.5108225108225108,0.5541125541125541,0.9619402985074627,0.9716417910447761,0.9715502836171013,0.4899178491411501,0.2544760471747146,6e-05,0.0002
20,0.23727678108117273,0.048179664882884464,0.17142857142857143,0.5151515151515151,0.5411255411255411,0.9585820895522388,0.9742537313432836,0.9739273257907599,0.4958924570575056,0.2530934777920722,3e-05,0.0001
21,0.22961757129784513,0.04521534047908197,0.16579770594369134,0.5281385281385281,0.5281385281385281,0.9590796019900497,0.972636815920398,0.9729603855792981,0.49738610903659447,0.24778558335960893,3e-05,0.0001
22,0.2240791719070055,0.043468313886982385,0.1672575599582899,0.5064935064935064,0.5324675324675324,0.9669154228855721,0.9772388059701492,0.9772513193944822,0.4921583271097834,0.2524105968748024,3e-05,0.0001
23,0.21697356859920833,0.04365476880898402,0.1672575599582899,0.48917748917748916,0.5454545454545454,0.9644278606965174,0.9758706467661692,0.9758387145131961,0.4921583271097834,0.25701323304460266,3e-05,0.0001
24,0.21696332952083258,0.042254264111130646,0.1697601668404588,0.49783549783549785,0.5584415584415584,0.9676616915422885,0.9777363184079602,0.9777033226977567,0.4943988050784167,0.25582581744558164,3e-05,0.0001
25,0.22143693596266695,0.04194869811353927,0.17288842544316996,0.5194805194805194,0.5411255411255411,0.970771144278607,0.9804726368159205,0.9805439654966367,0.48917102315160566,0.2507522365312731,1.5e-05,5e-05
26,0.21819589922243562,0.04153540189021278,0.1716371220020855,0.5108225108225108,0.5497835497835498,0.9732587064676617,0.9799751243781094,0.9796759518982042,0.4899178491411501,0.2525278372338039,1.5e-05,5e-05
27,0.21589389988330054,0.04232953047269147,0.16955161626694473,0.5194805194805194,0.5411255411255411,0.9723880597014926,0.9803482587064677,0.9805865385503258,0.49066467513069456,0.2494249132217712,1.5e-05,5e-05
28,0.20728293188869368,0.03997049629447508,0.16579770594369134,0.5021645021645021,0.5411255411255411,0.9759950248756218,0.9815920398009951,0.9817009823105546,0.5026138909634055,0.2530108232696771,1.5e-05,5e-05
29,0.21290479377507796,0.041125769569041334,0.1691345151199166,0.5064935064935064,0.5670995670995671,0.9733830845771144,0.9822139303482587,0.9823758346811432,0.4899178491411501,0.25203615402504914,7.5e-06,2.5e-05
